,CountyName,StateName,dem_to_rep_ratio,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym
701,Sullivan,NY,0.78890214,3.0,2.0,1.0,2,1,2.0
702,Colquitt,GA,0.34986866,5.0,2.0,2.0,2,1,3.0
703,Broomfield,CO,1.373355607,5.0,4.0,1.0,4,1,2.0
704,Okeechobee,FL,0.42315091899999996,5.0,2.0,2.0,2,1,3.0
705,Davis,UT,0.462495379,,2.0,1.0,2,1,2.0
706,Evangeline,LA,0.406177606,4.0,2.0,2.0,2,1,2.0
707,McCurtain,OK,0.208179298,,5.0,5.0,2,5,5.0
708,Moore,NC,0.53555264,5.0,4.0,1.0,2,1,4.0
709,Creek,OK,0.270730012,,5.0,5.0,2,5,5.0
710,Uvalde,TX,0.799793175,5.0,3.0,1.0,4,1,3.0
711,Clermont,OH,0.395672265,4.0,1.0,1.0,2,1,3.0
712,Harrison,TX,0.381407008,5.0,3.0,1.0,4,1,3.0
713,Cecil,MD,0.472841901,5.0,2.0,1.0,2,1,2.0
714,Haywood,NC,0.5532780389999999,5.0,4.0,1.0,2,1,4.0
715,Walworth,WI,0.648365741,4.0,2.0,2.0,2,1,2.0
716,Panola,MS,0.9975835679999999,5.0,4.0,4.0,3,4,4.0
717,Pope,AR,0.30757874,,5.0,5.0,2,1,3.0
718,Wilkes,NC,0.279471202,5.0,4.0,1.0,2,1,4.0
719,Gibson,TN,0.38140142200000005,5.0,4.0,4.0,3,4,4.0
720,Marshall,IA,0.836649902,,5.0,5.0,5,1,2.0
721,Lavaca,TX,0.159248673,5.0,3.0,1.0,4,1,3.0
722,Emanuel,GA,0.456419869,5.0,2.0,2.0,2,1,3.0
723,Tama,IA,0.642928988,,5.0,5.0,5,1,2.0
724,New Hanover,NC,0.921129662,5.0,4.0,1.0,2,1,4.0
725,Copiah,MS,1.104538751,5.0,4.0,4.0,3,4,4.0
726,Independence,AR,0.289955717,,5.0,5.0,2,1,3.0
727,Pitt,NC,1.171836037,5.0,4.0,1.0,2,1,4.0
728,Coahoma,MS,2.629018961,5.0,4.0,4.0,3,4,4.0
729,Newberry,SC,0.6206449039999999,5.0,2.0,2.0,2,1,5.0
730,Lee,SC,1.85479843,5.0,2.0,2.0,2,1,5.0
731,De Soto,LA,0.640183441,4.0,2.0,2.0,2,1,2.0
732,Harrisonburg City,VA,1.630788885,5.0,4.0,4.0,2,4,2.0
733,Franklin,MO,0.348320632,5.0,3.0,3.0,3,1,5.0
734,Beaufort,NC,0.6026266929999999,5.0,4.0,1.0,2,1,4.0
735,Marion,SC,1.574026451,5.0,2.0,2.0,2,1,5.0
736,Bamberg,SC,1.768602541,5.0,2.0,2.0,2,1,5.0
737,Jasper,IA,0.673200758,,5.0,5.0,5,1,2.0
738,Malheur,OR,0.312204615,4.0,2.0,2.0,2,1,2.0
739,Mecklenburg,VA,0.75832529,5.0,4.0,4.0,2,4,2.0
740,Iredell,NC,0.451729554,5.0,4.0,1.0,2,1,4.0
741,Webster,LA,0.5423670070000001,4.0,2.0,2.0,2,1,2.0
742,Appling,GA,0.261012013,5.0,2.0,2.0,2,1,3.0
743,Decatur,GA,0.6850498340000001,5.0,2.0,2.0,2,1,3.0
744,Lenoir,NC,0.92808345,5.0,4.0,1.0,2,1,4.0
745,Hertford,NC,2.229751533,5.0,4.0,1.0,2,1,4.0
746,Maury,TN,0.421782428,5.0,4.0,4.0,3,4,4.0
747,Noble,IN,0.32005246800000003,4.0,4.0,1.0,3,1,2.0
748,Titus,TX,0.39886346200000006,5.0,3.0,1.0,4,1,3.0
749,Tuscola,MI,0.43439363799999997,4.0,4.0,4.0,2,1,2.0
750,Grimes,TX,0.31054494,5.0,3.0,1.0,4,1,3.0
751,Atascosa,TX,0.539684382,5.0,3.0,1.0,4,1,3.0
752,Talladega,AL,0.587998448,5.0,3.0,1.0,2,1,5.0
753,Scott,MN,0.713477521,5.0,5.0,5.0,2,1,2.0
754,Taney,MO,0.239275553,5.0,3.0,3.0,3,1,5.0
755,Hardin,TX,0.141793329,5.0,3.0,1.0,4,1,3.0
756,Early,GA,0.849529781,5.0,2.0,2.0,2,1,3.0
757,Jasper,TX,0.24413234,5.0,3.0,1.0,4,1,3.0
758,Bienville,LA,0.8330670929999999,4.0,2.0,2.0,2,1,2.0
759,Hood,TX,0.18744738600000002,5.0,3.0,1.0,4,1,3.0
760,Yazoo,MS,1.167681601,5.0,4.0,4.0,3,4,4.0
761,Pasquotank,NC,1.053178484,5.0,4.0,1.0,2,1,4.0
762,Daviess,IN,0.21064950300000002,4.0,4.0,1.0,3,1,2.0
763,Shiawassee,MI,0.652418097,4.0,4.0,4.0,2,1,2.0
764,Lawrence,IN,0.299964375,4.0,4.0,1.0,3,1,2.0
765,Flagler,FL,0.650694239,5.0,2.0,2.0,2,1,3.0
766,White,AR,0.24529107600000002,,5.0,5.0,2,1,3.0
767,Craighead,AR,0.46033548799999996,,5.0,5.0,2,1,3.0
768,St Bernard,LA,0.48451694799999995,4.0,2.0,2.0,2,1,2.0
769,Worth,GA,0.328348505,5.0,2.0,2.0,2,1,3.0
770,Hardeman,TN,0.850782679,5.0,4.0,4.0,3,4,4.0
771,Terrell,GA,1.209711846,5.0,2.0,2.0,2,1,3.0
772,San Luis Obispo,CA,1.194840111,3.0,3.0,3.0,3,1,1.0
773,Morgan,AL,0.300218748,5.0,3.0,1.0,2,1,5.0
774,Weber,UT,0.574897477,,2.0,1.0,2,1,2.0
775,McMinn,TN,0.238921789,5.0,4.0,4.0,3,4,4.0
776,Carter,TN,0.20434370899999998,5.0,4.0,4.0,3,4,4.0
777,Roanoke City,VA,1.506930827,5.0,4.0,4.0,2,4,2.0
778,Wood,TX,0.167515924,5.0,3.0,1.0,4,1,3.0
779,Bulloch,GA,0.613433132,5.0,2.0,2.0,2,1,3.0
780,Scott,IA,1.0329765770000001,,5.0,5.0,5,1,2.0
781,Sarpy,NE,0.620982212,,3.0,3.0,3,5,5.0
782,Livingston,MI,0.523507917,4.0,4.0,4.0,2,1,2.0
783,Vigo,IN,0.726215982,4.0,4.0,1.0,3,1,2.0
784,Washington,PA,0.591698433,5.0,4.0,4.0,2,1,2.0
785,Marathon,WI,0.678671212,4.0,2.0,2.0,2,1,2.0
786,Northampton,VA,1.2118391659999999,5.0,4.0,4.0,2,4,2.0
787,Blount,TN,0.323157867,5.0,4.0,4.0,3,4,4.0
788,Charlottesville City,VA,6.047635135,5.0,4.0,4.0,2,4,2.0
789,Henry,VA,0.53905839,5.0,4.0,4.0,2,4,2.0
790,Bastrop,TX,0.647292994,5.0,3.0,1.0,4,1,3.0
791,Brunswick,NC,0.544990637,5.0,4.0,1.0,2,1,4.0
792,Franklin,AL,0.23209380899999998,5.0,3.0,1.0,2,1,5.0
793,Ross,OH,0.55522196,4.0,1.0,1.0,2,1,3.0
794,Stearns,MN,0.537119096,5.0,5.0,5.0,2,1,2.0
795,Jefferson,GA,1.247469801,5.0,2.0,2.0,2,1,3.0
796,Cherokee,TX,0.268519235,5.0,3.0,1.0,4,1,3.0
797,Jenkins,GA,0.592612137,5.0,2.0,2.0,2,1,3.0
798,Chilton,AL,0.193024335,5.0,3.0,1.0,2,1,5.0
799,Franklin,NC,0.786534702,5.0,4.0,1.0,2,1,4.0
800,McDowell,NC,0.320359692,5.0,4.0,1.0,2,1,4.0
801,Giles,TN,0.365997491,5.0,4.0,4.0,3,4,4.0
802,Crenshaw,AL,0.368712608,5.0,3.0,1.0,2,1,5.0
803,Big Horn,MT,1.130059363,5.0,5.0,5.0,2,1,3.0
804,Johnson,IA,2.385478046,,5.0,5.0,5,1,2.0
805,Dearborn,IN,0.269585381,4.0,4.0,1.0,3,1,2.0
806,Lawrence,AL,0.334810302,5.0,3.0,1.0,2,1,5.0
807,Yell,AR,0.321180556,,5.0,5.0,2,1,3.0
808,Polk,TX,0.275896152,5.0,3.0,1.0,4,1,3.0
809,Rockwall,TX,0.33935538299999995,5.0,3.0,1.0,4,1,3.0
810,Grant,LA,0.159422246,4.0,2.0,2.0,2,1,2.0
811,Worcester,MD,0.566705404,5.0,2.0,1.0,2,1,2.0
812,McLean,IL,0.972043935,3.0,2.0,2.0,2,1,2.0
813,Logan,KY,0.35420416600000004,5.0,5.0,5.0,2,1,2.0
814,Ottawa,OH,0.654785426,4.0,1.0,1.0,2,1,3.0
815,Page,VA,0.321031797,5.0,4.0,4.0,2,4,2.0
816,Warren,NY,0.8311218340000001,3.0,2.0,1.0,2,1,2.0
817,Galax City,VA,0.42482844700000005,5.0,4.0,4.0,2,4,2.0
818,Southampton,VA,0.714001986,5.0,4.0,4.0,2,4,2.0
819,Cape Girardeau,MO,0.314320613,5.0,3.0,3.0,3,1,5.0
820,Hot Spring,AR,0.38534018600000003,,5.0,5.0,2,1,3.0
821,Carbon,PA,0.476764659,5.0,4.0,4.0,2,1,2.0
